"COU","Country","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","COMP_SEC_WS","Average wages and salaries of employees in secretarial positions, USD PPP","2015","2015","USD","US Dollar","0","Units",,,43519.56,,
"AUS","Australia","COMP_SEC_ESC","Average employers'social contributions of employees in secretarial positions, USD PPP","2015","2015","USD","US Dollar","0","Units",,,7323.07,,
"AUS","Australia","COMP_SEC_WT","Average working time correction of employees in secretarial positions, USD PPP","2015","2015","USD","US Dollar","0","Units",,,10977.27,,
"AUS","Australia","RCSEC_GDP","Average annual compensation of employees in secretarial positions, relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,1.15,,
"AUS","Australia","COMP_PI_DET","Average annual compensation of employees in service delivery occupations, police inspectors and detectives, USD PPP","2015","2015","USD","US Dollar","0","Units",,,115938.09,,
"AUS","Australia","COMP_PO","Average annual compensation of employees in service delivery occupations, police officers, USD PPP","2015","2015","USD","US Dollar","0","Units",,,82867.71,,
"AUS","Australia","COMP_IO","Average annual compensation of employees in service delivery occupations, immigration officers, USD PPP","2015","2015","USD","US Dollar","0","Units",,,60734.89,,
"AUS","Australia","COMP_CI","Average annual compensation of employees in service delivery occupations, customs inspectors, USD PPP","2015","2015","USD","US Dollar","0","Units",,,63307.76,,
"AUS","Australia","COMP_TI","Average annual compensation of employees in service delivery occupations, tax inspectors, USD PPP","2015","2015","USD","US Dollar","0","Units",,,66487.49,,
"AUS","Australia","RCPI_DET_GDP","Average annual compensation of central government police inspectors and detectives relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,2.15,,
"AUS","Australia","RCPO_GDP","Average annual compensation of central government police officers relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,1.54,,
"AUS","Australia","RCIO_GDP","Average annual compensation of central government immigration officers relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,1.13,,
"AUS","Australia","RCCI_GDP","Average annual compensation of central government customs inspectors relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,1.18,,
"AUS","Australia","RCTI_GDP","Average annual compensation of central government tax inspectors relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,1.24,,
"AUS","Australia","TS_15Y_LE","Teachers' salaries in public institutions, 15 years of experience, lower secondary education, USD PPP","2014","2014","USD","US Dollar","0","Units",,,57293,,
"AUS","Australia","TS_SS_LE","Teachers' starting salaries in public institutions, lower secondary education, USD PPP","2014","2014","USD","US Dollar","0","Units",,,39804,,
"AUS","Australia","TS_TS_LE","Teachers' top of scale salaries in public institutions, lower secondary education, USD PPP","2014","2014","USD","US Dollar","0","Units",,,57478,,
"AUS","Australia","RTS_TEW","Ratio of teachers’ salaries to the earnings of tertiary-educated workers","2014","2014","RATIO","Ratio","0","Units",,,0.93,,
"AUT","Austria","EMGG_TOT","Employment in general goverrnment as a percentage of total employment","2007","2007","PC","Percentage","0","Units",,,16.41,,
"AUT","Austria","EMGG_TOT","Employment in general goverrnment as a percentage of total employment","2008","2008","PC","Percentage","0","Units",,,16.36,,
"AUT","Austria","EMGG_TOT","Employment in general goverrnment as a percentage of total employment","2009","2009","PC","Percentage","0","Units",,,16.51,,
"AUT","Austria","EMGG_TOT","Employment in general goverrnment as a percentage of total employment","2010","2010","PC","Percentage","0","Units",,,16.49,,
"AUT","Austria","EMGG_TOT","Employment in general goverrnment as a percentage of total employment","2011","2011","PC","Percentage","0","Units",,,16.19,,
"AUT","Austria","EMGG_TOT","Employment in general goverrnment as a percentage of total employment","2012","2012","PC","Percentage","0","Units",,,16.06,,
"AUT","Austria","EMGG_TOT","Employment in general goverrnment as a percentage of total employment","2013","2013","PC","Percentage","0","Units",,,16.08,,
"AUT","Austria","EMGG_TOT","Employment in general goverrnment as a percentage of total employment","2014","2014","PC","Percentage","0","Units",,,15.93,,
"AUT","Austria","EMGG_TOT","Employment in general goverrnment as a percentage of total employment","2015","2015","PC","Percentage","0","Units",,,15.94,,
"AUT","Austria","EMPGG","Employment in general government","2007","2007","PER","Persons","3","Thousands",,,658.6,,
"AUT","Austria","EMPGG","Employment in general government","2008","2008","PER","Persons","3","Thousands",,,669.1,,
"AUT","Austria","EMPGG","Employment in general government","2009","2009","PER","Persons","3","Thousands",,,672.6,,
"AUT","Austria","EMPGG","Employment in general government","2010","2010","PER","Persons","3","Thousands",,,676.5,,
"AUT","Austria","EMPGG","Employment in general government","2011","2011","PER","Persons","3","Thousands",,,674.4,,
"AUT","Austria","EMPGG","Employment in general government","2012","2012","PER","Persons","3","Thousands",,,676.1,,
"AUT","Austria","EMPGG","Employment in general government","2013","2013","PER","Persons","3","Thousands",,,679.2,,
"AUT","Austria","EMPGG","Employment in general government","2014","2014","PER","Persons","3","Thousands",,,679,,
"AUT","Austria","EMPGG","Employment in general government","2015","2015","PER","Persons","3","Thousands",,,683.9,,
"AUT","Austria","EMP_AGE_18_34","Share of people employed in the central government aged 18-34 years old","2015","2015","PER","Persons","0","Units",,,14.66,,
"AUT","Austria","EMP_AGE_35_44","Share of people employed in the central government aged 35-54 years old","2015","2015","PER","Persons","0","Units",,,59.21,,
"AUT","Austria","EMP_AGE_55","Share of people employed in the central government aged 55 years or older","2015","2015","PER","Persons","0","Units",,,26.12,,
"AUT","Austria","EMP_AGE_55S","Share of people employed in the central government aged 55 years or older, senior managers","2015","2015","PER","Persons","0","Units",,,45.45,,
"AUT","Austria","EMPWCG","Share of central government employment filled by women","2015","2015","PER","Persons","0","Units",,,44.89,,
"AUT","Austria","EMPW_SM","Share of central government employment filled by women by occupation groups, senior management","2015","2015","PER","Persons","0","Units",,,28.79,,
"AUT","Austria","EMPW_PARL","Share of women parliamentarians","2012","2012","PC","Percentage","0","Units",,,27.9,,
"AUT","Austria","EMPW_PARL","Share of women parliamentarians","2015","2015","PC","Percentage","0","Units",,,30.6,,
"AUT","Austria","EMPW_MIN","Share of women ministers","2012","2012","PC","Percentage","0","Units",,,46.2,,
"AUT","Austria","EMPW_MIN","Share of women ministers","2015","2015","PC","Percentage","0","Units",,,30.8,,
"AUT","Austria","EMPW_PJ","Share of professional judges that are women","2012","2012","PC","Percentage","0","Units",,,49,,
"AUT","Austria","EMPW_PJ","Share of professional judges that are women","2014","2014","PC","Percentage","0","Units",,,51,,
"AUT","Austria","EMPW_CFI","Share of women in courts of first instance","2014","2014","PC","Percentage","0","Units",,,55,,
"AUT","Austria","EMPW_AC","Share of women in appeal courts","2014","2014","PC","Percentage","0","Units",,,42,,
"AUT","Austria","EMPW_SC","Share of women in supreme courts","2014","2014","PC","Percentage","0","Units",,,35,,
"AUT","Austria","COMP_D1","Average annual compensation of central government senior managers, D1 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,201193.28,,
"AUT","Austria","COMP_D1_WS","Average wages and salaries of central government senior managers, D1 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,150422.4,,
"AUT","Austria","COMP_D1_ESC","Average employers'social contributions of central government senior managers, D1 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,23761.37,,
"AUT","Austria","COMP_D1_WT","Average working time correction of central government senior managers, D1 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,27009.51,,
"AUT","Austria","COMP_D2","Average annual compensation of central government senior managers, D2 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,182879.92,,
"AUT","Austria","COMP_D2_WS","Average wages and salaries of central government senior managers, D2 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,134656.3,,
"AUT","Austria","COMP_D2_ESC","Average employers'social contributions of central government senior managers, D2 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,23672.61,,
"AUT","Austria","COMP_D2_WT","Average working time correction of central government senior managers, D2 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,24551,,
"AUT","Austria","RCD1_GDP","Average annual compensation of central government senior officials, D1 position, relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,3.79,,
"AUT","Austria","RCD2_GDP","Average annual compensation of central government senior officials, D2 position, relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,3.44,,
"AUT","Austria","COMP_D3","Average annual compensation of central government middle managers, D3 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,121207.54,,
"AUT","Austria","COMP_D3_WS","Average wages and salaries of central government middle managers, D3 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,84649.41,,
"AUT","Austria","COMP_D3_ESC","Average employers'social contributions of central government middle managers, D3 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,20286.43,,
"AUT","Austria","COMP_D3_WT","Average working time correction of central government middle managers, D3 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,16271.7,,
"AUT","Austria","COMP_D4","Average annual compensation of central government middle managers, D4 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,98625.74,,
"AUT","Austria","COMP_D4_WS","Average wages and salaries of central government middle managers, D4 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,67185.27,,
"AUT","Austria","COMP_D4_ESC","Average employers'social contributions of central government middle managers, D4 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,18200.3,,
"AUT","Austria","COMP_D4_WT","Average working time correction of central government middle managers, D4 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,13240.17,,
"AUT","Austria","RCD3_GDP","Average annual compensation of central government middle officials, D3 position, relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,2.28,,
"AUT","Austria","RCD4_GDP","Average annual compensation of central government middle officials, D4 position, relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,1.86,,
"AUT","Austria","COMP_SP","Average annual compensation of senior professionals in central government, USD PPP","2015","2015","USD","US Dollar","0","Units",,,94585.04,,
"AUT","Austria","COMP_SP_WS","Average wages and salaries of senior professionals in central government, USD PPP","2015","2015","USD","US Dollar","0","Units",,,64634.24,,
"AUT","Austria","COMP_SP_ESC","Average employers'social contributions of senior professionals in central government, USD PPP","2015","2015","USD","US Dollar","0","Units",,,17253.08,,
"AUT","Austria","COMP_SP_WT","Average working time correction of senior professionals in central government, USD PPP","2015","2015","USD","US Dollar","0","Units",,,12697.72,,
"AUT","Austria","RCSP_GDP","Average annual compensation of senior professionals in central government, relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,1.78,,
"AUT","Austria","COMP_SEC","Average annual compensation of employees in secretarial positions, USD PPP","2015","2015","USD","US Dollar","0","Units",,,50375.45,,
"AUT","Austria","COMP_SEC_WS","Average wages and salaries of employees in secretarial positions, USD PPP","2015","2015","USD","US Dollar","0","Units",,,34452.55,,
"AUT","Austria","COMP_SEC_ESC","Average employers'social contributions of employees in secretarial positions, USD PPP","2015","2015","USD","US Dollar","0","Units",,,9160.16,,
"AUT","Austria","COMP_SEC_WT","Average working time correction of employees in secretarial positions, USD PPP","2015","2015","USD","US Dollar","0","Units",,,6762.73,,
"AUT","Austria","RCSEC_GDP","Average annual compensation of employees in secretarial positions, relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,0.95,,
"AUT","Austria","COMP_PI_DET","Average annual compensation of employees in service delivery occupations, police inspectors and detectives, USD PPP","2015","2015","USD","US Dollar","0","Units",,,79445.54,,
"AUT","Austria","COMP_PO","Average annual compensation of employees in service delivery occupations, police officers, USD PPP","2015","2015","USD","US Dollar","0","Units",,,64245.57,,
"AUT","Austria","COMP_CI","Average annual compensation of employees in service delivery occupations, customs inspectors, USD PPP","2015","2015","USD","US Dollar","0","Units",,,62213.99,,
"AUT","Austria","COMP_TI","Average annual compensation of employees in service delivery occupations, tax inspectors, USD PPP","2015","2015","USD","US Dollar","0","Units",,,60357.36,,
"AUT","Austria","RCPI_DET_GDP","Average annual compensation of central government police inspectors and detectives relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,1.5,,
"AUT","Austria","RCPO_GDP","Average annual compensation of central government police officers relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,1.21,,
"AUT","Austria","RCCI_GDP","Average annual compensation of central government customs inspectors relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,1.17,,
"AUT","Austria","RCTI_GDP","Average annual compensation of central government tax inspectors relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,1.14,,
"AUT","Austria","TS_15Y_LE","Teachers' salaries in public institutions, 15 years of experience, lower secondary education, USD PPP","2014","2014","USD","US Dollar","0","Units",,,46852,,
"AUT","Austria","TS_SS_LE","Teachers' starting salaries in public institutions, lower secondary education, USD PPP","2014","2014","USD","US Dollar","0","Units",,,34345,,
"AUT","Austria","TS_TS_LE","Teachers' top of scale salaries in public institutions, lower secondary education, USD PPP","2014","2014","USD","US Dollar","0","Units",,,66595,,
"AUT","Austria","RTS_TEW","Ratio of teachers’ salaries to the earnings of tertiary-educated workers","2014","2014","RATIO","Ratio","0","Units",,,0.64,,
"BEL","Belgium","EMGG_TOT","Employment in general goverrnment as a percentage of total employment","2007","2007","PC","Percentage","0","Units",,,18.47,,
"BEL","Belgium","EMGG_TOT","Employment in general goverrnment as a percentage of total employment","2008","2008","PC","Percentage","0","Units",,,18.38,,
"BEL","Belgium","EMGG_TOT","Employment in general goverrnment as a percentage of total employment","2009","2009","PC","Percentage","0","Units",,,18.79,,
"BEL","Belgium","EMGG_TOT","Employment in general goverrnment as a percentage of total employment","2010","2010","PC","Percentage","0","Units",,,18.82,,
"BEL","Belgium","EMGG_TOT","Employment in general goverrnment as a percentage of total employment","2011","2011","PC","Percentage","0","Units",,,18.64,,
"BEL","Belgium","EMGG_TOT","Employment in general goverrnment as a percentage of total employment","2012","2012","PC","Percentage","0","Units",,,18.57,,
"BEL","Belgium","EMGG_TOT","Employment in general goverrnment as a percentage of total employment","2013","2013","PC","Percentage","0","Units",,,18.63,,
"BEL","Belgium","EMGG_TOT","Employment in general goverrnment as a percentage of total employment","2014","2014","PC","Percentage","0","Units",,,18.6,,
"BEL","Belgium","EMGG_TOT","Employment in general goverrnment as a percentage of total employment","2015","2015","PC","Percentage","0","Units",,,18.45,,
"BEL","Belgium","EMPGG","Employment in general government","2007","2007","PER","Persons","3","Thousands",,,807.8,,
"BEL","Belgium","EMPGG","Employment in general government","2008","2008","PER","Persons","3","Thousands",,,818.5,,
"BEL","Belgium","EMPGG","Employment in general government","2009","2009","PER","Persons","3","Thousands",,,835.3,,
"BEL","Belgium","EMPGG","Employment in general government","2010","2010","PER","Persons","3","Thousands",,,841.8,,
"BEL","Belgium","EMPGG","Employment in general government","2011","2011","PER","Persons","3","Thousands",,,845.5,,
"BEL","Belgium","EMPGG","Employment in general government","2012","2012","PER","Persons","3","Thousands",,,845.7,,
"BEL","Belgium","EMPGG","Employment in general government","2013","2013","PER","Persons","3","Thousands",,,846,,
"BEL","Belgium","EMPGG","Employment in general government","2014","2014","PER","Persons","3","Thousands",,,847.8,,
"BEL","Belgium","EMPGG","Employment in general government","2015","2015","PER","Persons","3","Thousands",,,848.8,,
"BEL","Belgium","DGEM_S1311","Central government employment as a percentage of general government employment","2009","2009","PER","Persons","0","Units",,,16.7,,
"BEL","Belgium","DGEM_S1311","Central government employment as a percentage of general government employment","2014","2014","PER","Persons","0","Units",,,14.92,,
"BEL","Belgium","DGEM_SNG","Sub-central government employment as a percentage of general government employment","2014","2014","PER","Persons","0","Units",,,81.46,,
"BEL","Belgium","DGEM_S1314","Social security government employment as a percentage of general government employment","2014","2014","PER","Persons","0","Units",,,3.62,,
"BEL","Belgium","EMP_AGE_18_34","Share of people employed in the central government aged 18-34 years old","2015","2015","PER","Persons","0","Units",,,17.04,,
"BEL","Belgium","EMP_AGE_35_44","Share of people employed in the central government aged 35-54 years old","2015","2015","PER","Persons","0","Units",,,55.37,,
"BEL","Belgium","EMP_AGE_55","Share of people employed in the central government aged 55 years or older","2010","2010","PER","Persons","0","Units",,,22.82,,
"BEL","Belgium","EMP_AGE_55","Share of people employed in the central government aged 55 years or older","2015","2015","PER","Persons","0","Units",,,27.59,,
"BEL","Belgium","EMP_AGE_55S","Share of people employed in the central government aged 55 years or older, senior managers","2015","2015","PER","Persons","0","Units",,,59.68,,
"BEL","Belgium","EMP_AGE_55P","Share of people employed in the central government aged 55 years or older, professionals","2015","2015","PER","Persons","0","Units",,,20.86,,
"BEL","Belgium","EMPWPS","Share of public employment filled by women","2009","2009","PER","Persons","0","Units",,,54.89,,
"BEL","Belgium","EMPWPS","Share of public employment filled by women","2015","2015","PER","Persons","0","Units",,,57.17,,
"BEL","Belgium","EMPLWTOT","Share of employed women in total employment","2009","2009","PER","Persons","0","Units",,,45.04,,
"BEL","Belgium","EMPLWTOT","Share of employed women in total employment","2015","2015","PER","Persons","0","Units",,,46.53,,
"BEL","Belgium","EMPWCG","Share of central government employment filled by women","2015","2015","PER","Persons","0","Units",,,52.26,,
"BEL","Belgium","EMPW_SM","Share of central government employment filled by women by occupation groups, senior management","2010","2010","PER","Persons","0","Units",,,16.67,,
"BEL","Belgium","EMPW_SM","Share of central government employment filled by women by occupation groups, senior management","2015","2015","PER","Persons","0","Units",,,21.14,,
"BEL","Belgium","EMPW_MM","Share of central government employment filled by women by occupation groups, middle management","2015","2015","PER","Persons","0","Units",,,27.45,,
"BEL","Belgium","EMPW_P","Share of central government employment filled by women by occupation groups, professionals","2015","2015","PER","Persons","0","Units",,,45.39,,
"BEL","Belgium","EMPW_PARL","Share of women parliamentarians","2012","2012","PC","Percentage","0","Units",,,38,,
"BEL","Belgium","EMPW_PARL","Share of women parliamentarians","2015","2015","PC","Percentage","0","Units",,,39.3,,
"BEL","Belgium","EMPW_MIN","Share of women ministers","2012","2012","PC","Percentage","0","Units",,,41.7,,
"BEL","Belgium","EMPW_MIN","Share of women ministers","2015","2015","PC","Percentage","0","Units",,,23.1,,
"BEL","Belgium","EMPW_PJ","Share of professional judges that are women","2012","2012","PC","Percentage","0","Units",,,49,,
"BEL","Belgium","EMPW_PJ","Share of professional judges that are women","2014","2014","PC","Percentage","0","Units",,,52,,
"BEL","Belgium","EMPW_CFI","Share of women in courts of first instance","2014","2014","PC","Percentage","0","Units",,,53,,
"BEL","Belgium","EMPW_AC","Share of women in appeal courts","2014","2014","PC","Percentage","0","Units",,,47,,
"BEL","Belgium","EMPW_SC","Share of women in supreme courts","2014","2014","PC","Percentage","0","Units",,,21,,
"BEL","Belgium","COMP_D1","Average annual compensation of central government senior managers, D1 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,342462.53,,
"BEL","Belgium","COMP_D1_WS","Average wages and salaries of central government senior managers, D1 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,222655.88,,
"BEL","Belgium","COMP_D1_ESC","Average employers'social contributions of central government senior managers, D1 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,68578.01,,
"BEL","Belgium","COMP_D1_WT","Average working time correction of central government senior managers, D1 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,51228.64,,
"BEL","Belgium","COMP_D2","Average annual compensation of central government senior managers, D2 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,255305.61,,
"BEL","Belgium","COMP_D2_WS","Average wages and salaries of central government senior managers, D2 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,165989.83,,
"BEL","Belgium","COMP_D2_ESC","Average employers'social contributions of central government senior managers, D2 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,51124.87,,
"BEL","Belgium","COMP_D2_WT","Average working time correction of central government senior managers, D2 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,38190.92,,
"BEL","Belgium","RCD1_GDP","Average annual compensation of central government senior officials, D1 position, relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,6.9,,
"BEL","Belgium","RCD2_GDP","Average annual compensation of central government senior officials, D2 position, relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,5.14,,
"BEL","Belgium","COMP_D3","Average annual compensation of central government middle managers, D3 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,184262.62,,
"BEL","Belgium","COMP_D3_WS","Average wages and salaries of central government middle managers, D3 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,119800.42,,
"BEL","Belgium","COMP_D3_ESC","Average employers'social contributions of central government middle managers, D3 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,36898.53,,
"BEL","Belgium","COMP_D3_WT","Average working time correction of central government middle managers, D3 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,27563.67,,
"BEL","Belgium","COMP_D4","Average annual compensation of central government middle managers, D4 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,177110.78,,
"BEL","Belgium","COMP_D4_WS","Average wages and salaries of central government middle managers, D4 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,115150.57,,
"BEL","Belgium","COMP_D4_ESC","Average employers'social contributions of central government middle managers, D4 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,35466.38,,
"BEL","Belgium","COMP_D4_WT","Average working time correction of central government middle managers, D4 position, USD PPP","2015","2015","USD","US Dollar","0","Units",,,26493.83,,
"BEL","Belgium","RCD3_GDP","Average annual compensation of central government middle officials, D3 position, relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,3.71,,
"BEL","Belgium","RCD4_GDP","Average annual compensation of central government middle officials, D4 position, relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,3.57,,
"BEL","Belgium","COMP_SP","Average annual compensation of senior professionals in central government, USD PPP","2015","2015","USD","US Dollar","0","Units",,,161342.28,,
"BEL","Belgium","COMP_SP_WS","Average wages and salaries of senior professionals in central government, USD PPP","2015","2015","USD","US Dollar","0","Units",,,99653.58,,
"BEL","Belgium","COMP_SP_ESC","Average employers'social contributions of senior professionals in central government, USD PPP","2015","2015","USD","US Dollar","0","Units",,,30693.3,,
"BEL","Belgium","COMP_SP_WT","Average working time correction of senior professionals in central government, USD PPP","2015","2015","USD","US Dollar","0","Units",,,30995.4,,
"BEL","Belgium","COMP_JP","Average annual compensation of junior professionals in central government, USD PPP","2015","2015","USD","US Dollar","0","Units",,,112955.04,,
"BEL","Belgium","COMP_JP_WS","Average wages and salaries of junior professionals in central government, USD PPP","2015","2015","USD","US Dollar","0","Units",,,69767.05,,
"BEL","Belgium","COMP_JP_ESC","Average employers'social contributions of junior professionals in central government, USD PPP","2015","2015","USD","US Dollar","0","Units",,,21488.25,,
"BEL","Belgium","COMP_JP_WT","Average working time correction of junior professionals in central government, USD PPP","2015","2015","USD","US Dollar","0","Units",,,21699.75,,
"BEL","Belgium","RCSP_GDP","Average annual compensation of senior professionals in central government, relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,3.09,,
"BEL","Belgium","RCJP_GDP","Average annual compensation of junior professionals in central government, relative to GDP per capita","2015","2015","RATIO","Ratio","0","Units",,,2.16,,
"BEL","Belgium","COMP_SEC","Average annual compensation of employees in secretarial positions, USD PPP","2015","2015","USD","US Dollar","0","Units",,,73840.11,,
