"","COU","Country","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"45","PRT","Portugal","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,28.6,NA,NA
"46","SVK","Slovak Republic","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,14.3,NA,NA
"47","ESP","Spain","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,30.8,NA,NA
"48","ESP","Spain","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,30.8,NA,NA
"49","SWE","Sweden","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,52.2,NA,NA
"50","SWE","Sweden","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,52.2,NA,NA
"51","CHE","Switzerland","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,42.9,NA,NA
"52","CHE","Switzerland","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,42.9,NA,NA
"53","TUR","Turkey","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,4,NA,NA
"54","TUR","Turkey","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,4,NA,NA
"55","GBR","United Kingdom","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,17.2,NA,NA
"56","GBR","United Kingdom","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,22.7,NA,NA
"57","USA","United States","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,27.3,NA,NA
"58","USA","United States","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,26.1,NA,NA
"59","CHL","Chile","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,18.2,NA,NA
"60","CHL","Chile","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,34.8,NA,NA
"61","COL","Colombia","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,33.3,NA,NA
"62","COL","Colombia","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,29.4,NA,NA
"63","EST","Estonia","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,8.3,NA,NA
"64","EST","Estonia","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,46.2,NA,NA
"65","ISR","Israel","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,10.3,NA,NA
"66","ISR","Israel","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,18.2,NA,NA
"67","LVA","Latvia","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,30.8,NA,NA
"68","LVA","Latvia","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,23.1,NA,NA
"69","SVN","Slovenia","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,7.7,NA,NA
"70","SVN","Slovenia","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,43.8,NA,NA
"71","OAVG","OECD - Average","EMPW_MIN","Share of women ministers",2012,2012,"PC","Percentage",0,"Units",NA,NA,25.1,NA,NA
"72","OAVG","OECD - Average","EMPW_MIN","Share of women ministers",2015,2015,"PC","Percentage",0,"Units",NA,NA,29.2,NA,NA
