"","COU","Country","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"33","SVK","Slovak Republic","EMPW_PJ","Share of professional judges that are women",2012,2012,"PC","Percentage",0,"Units",NA,NA,63,NA,NA
"34","SVK","Slovak Republic","EMPW_PJ","Share of professional judges that are women",2014,2014,"PC","Percentage",0,"Units",NA,NA,62,NA,NA
"35","ESP","Spain","EMPW_PJ","Share of professional judges that are women",2012,2012,"PC","Percentage",0,"Units",NA,NA,50,NA,NA
"36","ESP","Spain","EMPW_PJ","Share of professional judges that are women",2014,2014,"PC","Percentage",0,"Units",NA,NA,52,NA,NA
"37","SWE","Sweden","EMPW_PJ","Share of professional judges that are women",2012,2012,"PC","Percentage",0,"Units",NA,NA,47,NA,NA
"38","SWE","Sweden","EMPW_PJ","Share of professional judges that are women",2014,2014,"PC","Percentage",0,"Units",NA,NA,49,NA,NA
"39","CHE","Switzerland","EMPW_PJ","Share of professional judges that are women",2012,2012,"PC","Percentage",0,"Units",NA,NA,35,NA,NA
"40","CHE","Switzerland","EMPW_PJ","Share of professional judges that are women",2014,2014,"PC","Percentage",0,"Units",NA,NA,40,NA,NA
"41","TUR","Turkey","EMPW_PJ","Share of professional judges that are women",2012,2012,"PC","Percentage",0,"Units",NA,NA,34,NA,NA
"42","TUR","Turkey","EMPW_PJ","Share of professional judges that are women",2014,2014,"PC","Percentage",0,"Units",NA,NA,34,NA,NA
"43","EST","Estonia","EMPW_PJ","Share of professional judges that are women",2012,2012,"PC","Percentage",0,"Units",NA,NA,64,NA,NA
"44","EST","Estonia","EMPW_PJ","Share of professional judges that are women",2014,2014,"PC","Percentage",0,"Units",NA,NA,63,NA,NA
"45","ISR","Israel","EMPW_PJ","Share of professional judges that are women",2012,2012,"PC","Percentage",0,"Units",NA,NA,50,NA,NA
"46","ISR","Israel","EMPW_PJ","Share of professional judges that are women",2014,2014,"PC","Percentage",0,"Units",NA,NA,51,NA,NA
"47","LVA","Latvia","EMPW_PJ","Share of professional judges that are women",2012,2012,"PC","Percentage",0,"Units",NA,NA,77,NA,NA
"48","LVA","Latvia","EMPW_PJ","Share of professional judges that are women",2014,2014,"PC","Percentage",0,"Units",NA,NA,77,NA,NA
"49","SVN","Slovenia","EMPW_PJ","Share of professional judges that are women",2012,2012,"PC","Percentage",0,"Units",NA,NA,78,NA,NA
"50","SVN","Slovenia","EMPW_PJ","Share of professional judges that are women",2014,2014,"PC","Percentage",0,"Units",NA,NA,78,NA,NA
"51","OAVG","OECD - Average","EMPW_PJ","Share of professional judges that are women",2012,2012,"PC","Percentage",0,"Units",NA,NA,52,NA,NA
"52","OAVG","OECD - Average","EMPW_PJ","Share of professional judges that are women",2014,2014,"PC","Percentage",0,"Units",NA,NA,53,NA,NA
