"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q4-2011","Q4-2011","PC","Percentage","0","Units",,,88.4,,
"PRT","Portugal","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q3-2007","Q3-2007","PC","Percentage","0","Units",,,87.2,,
"POL","Poland","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,30.6,,
"HUN","Hungary","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q1-2008","Q1-2008","PC","Percentage","0","Units",,,37.1,,
"ISR","Israel","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2014","Q3-2014","PC","Percentage","0","Units",,,64.2,,
"GBR","United Kingdom","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2013","Q2-2013","PC","Percentage","0","Units",,,66.5,,
"OAVG","OECD - Average","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q1-2008","Q1-2008","PC","Percentage","0","Units",,,64.3,,
"SWE","Sweden","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2009","Q4-2009","PC","Percentage","0","Units",,,69.5,,
"OAVG","OECD - Average","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2014","Q2-2014","PC","Percentage","0","Units",,,5.6,,
"OAVG","OECD - Average","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2012","Q3-2012","PC","Percentage","0","Units",,,57.1,,
"FIN","Finland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,7.2,,
"GBR","United Kingdom","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q4-2011","Q4-2011","PC","Percentage","0","Units",,,45.5,,
"SVN","Slovenia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2008","Q2-2008","PC","Percentage","0","Units",,,72.6,,
"GBR","United Kingdom","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q1-2014","Q1-2014","PC","Percentage","0","Units",,,4.9,,
"PRT","Portugal","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q1-2014","Q1-2014","PC","Percentage","0","Units",,,13,,
"ISL","Iceland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2009","Q4-2009","PC","Percentage","0","Units",,,6.1,,
"ESP","Spain","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,64,,
"FRA","France","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2012","Q4-2012","PC","Percentage","0","Units",,,60.2,,
"BEL","Belgium","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2008","Q2-2008","PC","Percentage","0","Units",,,6.3,,
"GRC","Greece","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q4-2012","Q4-2012","PC","Percentage","0","Units",,,28.8,,
"CHL","Chile","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2011","Q1-2011","PC","Percentage","0","Units",,,48.3,,
"NLD","Netherlands","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2014","Q2-2014","PC","Percentage","0","Units",,,67.8,,
"CHE","Switzerland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,3.5,,
"CZE","Czech Republic","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2008","Q1-2008","PC","Percentage","0","Units",,,75.3,,
"ISR","Israel","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2007","Q2-2007","PC","Percentage","0","Units",,,63.2,,
"DEU","Germany","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,50.8,,
"TUR","Turkey","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q3-2014","Q3-2014","PC","Percentage","0","Units",,,45.8,,
"SVK","Slovak Republic","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q3-2013","Q3-2013","PC","Percentage","0","Units",,,15.8,,
"GRC","Greece","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q1-2009","Q1-2009","PC","Percentage","0","Units",,,62.4,,
"TUR","Turkey","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2008","Q3-2008","PC","Percentage","0","Units",,,23.7,,
"MEX","Mexico","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,5.4,,
"ITA","Italy","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2012","Q4-2012","PC","Percentage","0","Units",,,31.6,,
"CAN","Canada","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2007","Q2-2007","PC","Percentage","0","Units",,,69.8,,
"OAVG","OECD - Average","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2008","Q2-2008","PC","Percentage","0","Units",,,6,,
"MEX","Mexico","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q1-2012","Q1-2012","PC","Percentage","0","Units",,,90.5,,
"ISL","Iceland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2013","Q2-2013","PC","Percentage","0","Units",,,4.3,,
"ISL","Iceland","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q1-2008","Q1-2008","PC","Percentage","0","Units",,,74.8,,
"SWE","Sweden","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2013","Q1-2013","PC","Percentage","0","Units",,,8.5,,
"EST","Estonia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2008","Q2-2008","PC","Percentage","0","Units",,,62.7,,
"AUS","Australia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q3-2009","Q3-2009","PC","Percentage","0","Units",,,71.9,,
"DNK","Denmark","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2009","Q3-2009","PC","Percentage","0","Units",,,77.8,,
"NOR","Norway","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q1-2007","Q1-2007","PC","Percentage","0","Units",,,62.9,,
"TUR","Turkey","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q2-2012","Q2-2012","PC","Percentage","0","Units",,,1.2,,
"NOR","Norway","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,0.7,,
"FIN","Finland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2011","Q2-2011","PC","Percentage","0","Units",,,67.2,,
"PRT","Portugal","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q2-2011","Q2-2011","PC","Percentage","0","Units",,,11.1,,
"JPN","Japan","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,3.5,,
"JPN","Japan","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q2-2014","Q2-2014","PC","Percentage","0","Units",,,3.6,,
"SVK","Slovak Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q4-2012","Q4-2012","PC","Percentage","0","Units",,,11.6,,
"BEL","Belgium","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q3-2009","Q3-2009","PC","Percentage","0","Units",,,4.9,,
"ISL","Iceland","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2009","Q3-2009","PC","Percentage","0","Units",,,80.1,,
"DEU","Germany","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q1-2013","Q1-2013","PC","Percentage","0","Units",,,7,,
"CAN","Canada","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2009","Q4-2009","PC","Percentage","0","Units",,,9.7,,
"SVN","Slovenia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q1-2008","Q1-2008","PC","Percentage","0","Units",,,31.8,,
"LUX","Luxembourg","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q3-2011","Q3-2011","PC","Percentage","0","Units",,,89.9,,
"FIN","Finland","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2011","Q1-2011","PC","Percentage","0","Units",,,70.5,,
"KOR","Korea","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2014","Q1-2014","PC","Percentage","0","Units",,,3.6,,
"GBR","United Kingdom","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q2-2011","Q2-2011","PC","Percentage","0","Units",,,6.3,,
"SVK","Slovak Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2014","Q1-2014","PC","Percentage","0","Units",,,13.9,,
"CZE","Czech Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2012","Q3-2012","PC","Percentage","0","Units",,,8.3,,
"FRA","France","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2012","Q4-2012","PC","Percentage","0","Units",,,42.9,,
"SWE","Sweden","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q1-2009","Q1-2009","PC","Percentage","0","Units",,,5.7,,
"CHE","Switzerland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2011","Q2-2011","PC","Percentage","0","Units",,,72.9,,
"TUR","Turkey","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q3-2008","Q3-2008","PC","Percentage","0","Units",,,14.9,,
"NLD","Netherlands","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q4-2013","Q4-2013","PC","Percentage","0","Units",,,77,,
"NZL","New Zealand","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q3-2008","Q3-2008","PC","Percentage","0","Units",,,79.3,,
"GBR","United Kingdom","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q3-2007","Q3-2007","PC","Percentage","0","Units",,,88.3,,
"TUR","Turkey","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,40.3,,
"SVN","Slovenia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q3-2007","Q3-2007","PC","Percentage","0","Units",,,10.2,,
"CHL","Chile","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2011","Q1-2011","PC","Percentage","0","Units",,,8.8,,
"ITA","Italy","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q3-2014","Q3-2014","PC","Percentage","0","Units",,,56.8,,
"PRT","Portugal","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2013","Q2-2013","PC","Percentage","0","Units",,,53.4,,
"NLD","Netherlands","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2011","Q2-2011","PC","Percentage","0","Units",,,79,,
"GBR","United Kingdom","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2013","Q4-2013","PC","Percentage","0","Units",,,3.8,,
"ITA","Italy","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q1-2007","Q1-2007","PC","Percentage","0","Units",,,58.9,,
"LUX","Luxembourg","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q1-2011","Q1-2011","PC","Percentage","0","Units",,,2.6,,
"AUT","Austria","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,48.6,,
"DNK","Denmark","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2013","Q2-2013","PC","Percentage","0","Units",,,5.3,,
"ISR","Israel","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2011","Q4-2011","PC","Percentage","0","Units",,,5.6,,
"KOR","Korea","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,17.6,,
"ZAF","South Africa","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2014","Q3-2014","PC","Percentage","0","Units",,,23.3,,
"ISL","Iceland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q3-2007","Q3-2007","PC","Percentage","0","Units",,,0.1,,
"AUT","Austria","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q4-2013","Q4-2013","PC","Percentage","0","Units",,,4.9,,
"GRC","Greece","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2007","Q3-2007","PC","Percentage","0","Units",,,47.8,,
"AUS","Australia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q3-2009","Q3-2009","PC","Percentage","0","Units",,,60.1,,
"DNK","Denmark","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q3-2009","Q3-2009","PC","Percentage","0","Units",,,65.9,,
"ISR","Israel","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2011","Q3-2011","PC","Percentage","0","Units",,,65.8,,
"TUR","Turkey","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2012","Q4-2012","PC","Percentage","0","Units",,,29.6,,
"ISR","Israel","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2007","Q4-2007","PC","Percentage","0","Units",,,4.3,,
"NZL","New Zealand","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2012","Q2-2012","PC","Percentage","0","Units",,,3.5,,
"AUT","Austria","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q1-2007","Q1-2007","PC","Percentage","0","Units",,,4,,
"MEX","Mexico","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q2-2012","Q2-2012","PC","Percentage","0","Units",,,53.3,,
"SVK","Slovak Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2007","Q4-2007","PC","Percentage","0","Units",,,12.3,,
"AUS","Australia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q2-2013","Q2-2013","PC","Percentage","0","Units",,,10.6,,
"BEL","Belgium","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q3-2008","Q3-2008","PC","Percentage","0","Units",,,4,,
"KOR","Korea","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q4-2013","Q4-2013","PC","Percentage","0","Units",,,10,,
"CHL","Chile","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,4.6,,
"AUT","Austria","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2007","Q4-2007","PC","Percentage","0","Units",,,4.9,,
"EST","Estonia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2008","Q4-2008","PC","Percentage","0","Units",,,5.7,,
"ESP","Spain","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q3-2008","Q3-2008","PC","Percentage","0","Units",,,6.4,,
"ESP","Spain","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q3-2011","Q3-2011","PC","Percentage","0","Units",,,63.1,,
"NZL","New Zealand","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q1-2008","Q1-2008","PC","Percentage","0","Units",,,2.2,,
"FRA","France","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q2-2012","Q2-2012","PC","Percentage","0","Units",,,6.3,,
"AUT","Austria","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q3-2013","Q3-2013","PC","Percentage","0","Units",,,50.4,,
"FRA","France","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2013","Q3-2013","PC","Percentage","0","Units",,,60.5,,
"NLD","Netherlands","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,9,,
"LUX","Luxembourg","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,21.8,,
"SVN","Slovenia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q4-2011","Q4-2011","PC","Percentage","0","Units",,,18.2,,
"SWE","Sweden","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q2-2011","Q2-2011","PC","Percentage","0","Units",,,82.3,,
"SWE","Sweden","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2012","Q2-2012","PC","Percentage","0","Units",,,8.3,,
"MEX","Mexico","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q2-2011","Q2-2011","PC","Percentage","0","Units",,,90,,
"NOR","Norway","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,7.5,,
"SVN","Slovenia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2013","Q3-2013","PC","Percentage","0","Units",,,59.6,,
"BEL","Belgium","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,56.9,,
"ESP","Spain","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2012","Q3-2012","PC","Percentage","0","Units",,,25.3,,
"FRA","France","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q3-2008","Q3-2008","PC","Percentage","0","Units",,,35.9,,
"NLD","Netherlands","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2007","Q2-2007","PC","Percentage","0","Units",,,3.7,,
"AUS","Australia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q4-2008","Q4-2008","PC","Percentage","0","Units",,,3.1,,
"GRC","Greece","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2007","Q4-2007","PC","Percentage","0","Units",,,3.8,,
"AUT","Austria","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q3-2008","Q3-2008","PC","Percentage","0","Units",,,3.5,,
"ISL","Iceland","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q3-2009","Q3-2009","PC","Percentage","0","Units",,,83.2,,
"TUR","Turkey","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q3-2011","Q3-2011","PC","Percentage","0","Units",,,20,,
"MEX","Mexico","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,78,,
"DNK","Denmark","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2009","Q4-2009","PC","Percentage","0","Units",,,6.1,,
"ISL","Iceland","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2008","Q4-2008","PC","Percentage","0","Units",,,84.4,,
"BEL","Belgium","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,23,,
"DNK","Denmark","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q2-2008","Q2-2008","PC","Percentage","0","Units",,,2.1,,
"ISR","Israel","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,14.4,,
"SVN","Slovenia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2012","Q3-2012","PC","Percentage","0","Units",,,67,,
"USA","United States","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q3-2011","Q3-2011","PC","Percentage","0","Units",,,64.6,,
"POL","Poland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q3-2008","Q3-2008","PC","Percentage","0","Units",,,20.7,,
"NOR","Norway","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2011","Q2-2011","PC","Percentage","0","Units",,,73.2,,
"OAVG","OECD - Average","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2012","Q2-2012","PC","Percentage","0","Units",,,73,,
"POL","Poland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q2-2012","Q2-2012","PC","Percentage","0","Units",,,6.7,,
"GBR","United Kingdom","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q2-2011","Q2-2011","PC","Percentage","0","Units",,,22.7,,
"SVN","Slovenia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q3-2007","Q3-2007","PC","Percentage","0","Units",,,5.2,,
"GBR","United Kingdom","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q3-2007","Q3-2007","PC","Percentage","0","Units",,,53.3,,
"DNK","Denmark","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q3-2014","Q3-2014","PC","Percentage","0","Units",,,13.7,,
