"COUNTRY","Country","SEX","Gender","AGE","Age","COUNTRY_ORIGIN","International students exclusion","ISC11_LEVEL_CAT","Education level and programe orientation ","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"CHN","China (People's Republic of)","M","Men","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_F_RATE_AGE","First-time graduation rate","2015","2015",,"M","Missing value; data cannot exist"
"CHN","China (People's Republic of)","M","Men","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_F_RATE_AGE","First-time graduation rate","2016","2016",,"M","Missing value; data cannot exist"
"SAU","Saudi Arabia","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_F_RATE_AGE","First-time graduation rate","2010","2010",,"M","Missing value; data cannot exist"
"SAU","Saudi Arabia","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_F_RATE_AGE","First-time graduation rate","2011","2011",,"M","Missing value; data cannot exist"
"SAU","Saudi Arabia","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_F_RATE_AGE","First-time graduation rate","2012","2012",,"M","Missing value; data cannot exist"
"SAU","Saudi Arabia","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_F_RATE_AGE","First-time graduation rate","2013","2013",,"M","Missing value; data cannot exist"
"SAU","Saudi Arabia","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_F_RATE_AGE","First-time graduation rate","2014","2014",,"M","Missing value; data cannot exist"
"SAU","Saudi Arabia","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_F_RATE_AGE","First-time graduation rate","2016","2016",,"M","Missing value; data cannot exist"
"POL","Poland","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_F_RATE_AGE","First-time graduation rate","2010","2010",,"M","Missing value; data cannot exist"
"POL","Poland","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_F_RATE_AGE","First-time graduation rate","2011","2011",,"M","Missing value; data cannot exist"
"POL","Poland","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_F_RATE_AGE","First-time graduation rate","2012","2012",,"M","Missing value; data cannot exist"
"POL","Poland","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_F_RATE_AGE","First-time graduation rate","2013","2013",,"M","Missing value; data cannot exist"
"POL","Poland","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_F_RATE_AGE","First-time graduation rate","2014","2014",,"M","Missing value; data cannot exist"
"POL","Poland","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_F_RATE_AGE","First-time graduation rate","2015","2015",,"M","Missing value; data cannot exist"
"POL","Poland","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_F_RATE_AGE","First-time graduation rate","2016","2016",,"M","Missing value; data cannot exist"
"ITA","Italy","F","Women","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_F_RATE_AGE","First-time graduation rate","2010","2010",,"M","Missing value; data cannot exist"
"ITA","Italy","F","Women","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_F_RATE_AGE","First-time graduation rate","2011","2011",,"M","Missing value; data cannot exist"
"ITA","Italy","F","Women","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_F_RATE_AGE","First-time graduation rate","2012","2012",,"M","Missing value; data cannot exist"
"ITA","Italy","F","Women","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_F_RATE_AGE","First-time graduation rate","2013","2013",,"M","Missing value; data cannot exist"
"ITA","Italy","F","Women","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_F_RATE_AGE","First-time graduation rate","2014","2014",,"M","Missing value; data cannot exist"
"ITA","Italy","F","Women","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_F_RATE_AGE","First-time graduation rate","2015","2015",,"M","Missing value; data cannot exist"
"ITA","Italy","F","Women","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_F_RATE_AGE","First-time graduation rate","2016","2016",1.43,,
"SVK","Slovak Republic","F","Women","Y_LT30","Less than 30","W0","World (all entities, including reference area, including IO)","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","GRAD_F_RATE_AGE","First-time graduation rate","2010","2010",6.148,,
"SVK","Slovak Republic","F","Women","Y_LT30","Less than 30","W0","World (all entities, including reference area, including IO)","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","GRAD_F_RATE_AGE","First-time graduation rate","2011","2011",1.083,,
"SVK","Slovak Republic","F","Women","Y_LT30","Less than 30","W0","World (all entities, including reference area, including IO)","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","GRAD_F_RATE_AGE","First-time graduation rate","2012","2012",1.192,,
"SVK","Slovak Republic","F","Women","Y_LT30","Less than 30","W0","World (all entities, including reference area, including IO)","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","GRAD_F_RATE_AGE","First-time graduation rate","2013","2013",5.169,,
"SVK","Slovak Republic","F","Women","Y_LT30","Less than 30","W0","World (all entities, including reference area, including IO)","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","GRAD_F_RATE_AGE","First-time graduation rate","2014","2014",4.752,,
"SVK","Slovak Republic","F","Women","Y_LT30","Less than 30","W0","World (all entities, including reference area, including IO)","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","GRAD_F_RATE_AGE","First-time graduation rate","2015","2015",4.013,,
"SVK","Slovak Republic","F","Women","Y_LT30","Less than 30","W0","World (all entities, including reference area, including IO)","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","GRAD_F_RATE_AGE","First-time graduation rate","2016","2016",4.213,,
"LVA","Latvia","M","Men","Y_LT25","Less than 25","W0","World (all entities, including reference area, including IO)","L3","Upper secondary education (ISCED2011 level 3)","GRAD_F_RATE_AGE","First-time graduation rate","2010","2010",82.777,,
"LVA","Latvia","M","Men","Y_LT25","Less than 25","W0","World (all entities, including reference area, including IO)","L3","Upper secondary education (ISCED2011 level 3)","GRAD_F_RATE_AGE","First-time graduation rate","2011","2011",86.628,,
"LVA","Latvia","M","Men","Y_LT25","Less than 25","W0","World (all entities, including reference area, including IO)","L3","Upper secondary education (ISCED2011 level 3)","GRAD_F_RATE_AGE","First-time graduation rate","2012","2012",86.94,,
"LVA","Latvia","M","Men","Y_LT25","Less than 25","W0","World (all entities, including reference area, including IO)","L3","Upper secondary education (ISCED2011 level 3)","GRAD_F_RATE_AGE","First-time graduation rate","2013","2013",80.468,,
"LVA","Latvia","M","Men","Y_LT25","Less than 25","W0","World (all entities, including reference area, including IO)","L3","Upper secondary education (ISCED2011 level 3)","GRAD_F_RATE_AGE","First-time graduation rate","2014","2014",83.246,,
"LVA","Latvia","M","Men","Y_LT25","Less than 25","W0","World (all entities, including reference area, including IO)","L3","Upper secondary education (ISCED2011 level 3)","GRAD_F_RATE_AGE","First-time graduation rate","2015","2015",81.468,,
"LVA","Latvia","M","Men","Y_LT25","Less than 25","W0","World (all entities, including reference area, including IO)","L3","Upper secondary education (ISCED2011 level 3)","GRAD_F_RATE_AGE","First-time graduation rate","2016","2016",80.639,,
"BEL","Belgium","M","Men","Y_LT25","Less than 25","W0","World (all entities, including reference area, including IO)","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","GRAD_F_RATE_AGE","First-time graduation rate","2016","2016",13.089,,
"CHE","Switzerland","F","Women","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_F_RATE_AGE","First-time graduation rate","2010","2010",,"M","Missing value; data cannot exist"
"CHE","Switzerland","F","Women","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_F_RATE_AGE","First-time graduation rate","2011","2011",,"M","Missing value; data cannot exist"
"CHE","Switzerland","F","Women","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_F_RATE_AGE","First-time graduation rate","2012","2012",,"M","Missing value; data cannot exist"
"CHE","Switzerland","F","Women","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_F_RATE_AGE","First-time graduation rate","2013","2013",1.16,,
"CHE","Switzerland","F","Women","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_F_RATE_AGE","First-time graduation rate","2014","2014",1.11,,
"CHE","Switzerland","F","Women","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_F_RATE_AGE","First-time graduation rate","2015","2015",1.106,,
"CHE","Switzerland","F","Women","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_F_RATE_AGE","First-time graduation rate","2016","2016",1.054,,
"GRC","Greece","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2010","2010",,"M","Missing value; data cannot exist"
"GRC","Greece","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2011","2011",,"M","Missing value; data cannot exist"
"GRC","Greece","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2012","2012",,"M","Missing value; data cannot exist"
"GRC","Greece","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2013","2013",,"z","Not applicable"
"GRC","Greece","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2014","2014",,"z","Not applicable"
"GRC","Greece","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2015","2015",,"z","Not applicable"
"GRC","Greece","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2016","2016",,"z","Not applicable"
"CHE","Switzerland","F","Women","Y_LT30","Less than 30","W0","World (all entities, including reference area, including IO)","L4_C4","Post-secondary non-tertiary general education  (ISCED2011 level 4 programme 4)","GRAD_F_RATE_AGE","First-time graduation rate","2016","2016",,"M","Missing value; data cannot exist"
"NOR","Norway","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_F_RATE_AGE","First-time graduation rate","2010","2010",,"M","Missing value; data cannot exist"
"NOR","Norway","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_F_RATE_AGE","First-time graduation rate","2011","2011",,"M","Missing value; data cannot exist"
"NOR","Norway","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_F_RATE_AGE","First-time graduation rate","2012","2012",,"M","Missing value; data cannot exist"
"NOR","Norway","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_F_RATE_AGE","First-time graduation rate","2013","2013",28.538,,
"NOR","Norway","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_F_RATE_AGE","First-time graduation rate","2014","2014",30.624,,
"NOR","Norway","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_F_RATE_AGE","First-time graduation rate","2015","2015",29.75,,
"NOR","Norway","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_F_RATE_AGE","First-time graduation rate","2016","2016",29.709,,
"HUN","Hungary","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2010","2010",,"M","Missing value; data cannot exist"
"HUN","Hungary","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2011","2011",,"M","Missing value; data cannot exist"
"HUN","Hungary","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2012","2012",,"M","Missing value; data cannot exist"
"HUN","Hungary","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2013","2013",9.153,,
"HUN","Hungary","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2014","2014",8.646,,
"HUN","Hungary","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2015","2015",1.747,,
"HUN","Hungary","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2016","2016",2.31,,
"CAN","Canada","F","Women","Y_LT35","Less than 35","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2010","2010",8.539,,
"CAN","Canada","F","Women","Y_LT35","Less than 35","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2011","2011",8.733,,
"CAN","Canada","F","Women","Y_LT35","Less than 35","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2012","2012",9.08,,
"CAN","Canada","F","Women","Y_LT35","Less than 35","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2013","2013",10.949,,
"CAN","Canada","F","Women","Y_LT35","Less than 35","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2014","2014",10.253,,
"CAN","Canada","F","Women","Y_LT35","Less than 35","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2015","2015",9.724,,
"CAN","Canada","F","Women","Y_LT35","Less than 35","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2016","2016",10.441,,
"IRL","Ireland","F","Women","Y_LT30","Less than 30","W0","World (all entities, including reference area, including IO)","L4_C5","Post-secondary non-tertiary vocational education  (ISCED2011 level 4 programme 5)","GRAD_F_RATE_AGE","First-time graduation rate","2016","2016",,"M","Missing value; data cannot exist"
"IDN","Indonesia","M","Men","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2010","2010",,"M","Missing value; data cannot exist"
"IDN","Indonesia","M","Men","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2011","2011",,"M","Missing value; data cannot exist"
"IDN","Indonesia","M","Men","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2012","2012",,"M","Missing value; data cannot exist"
"IDN","Indonesia","M","Men","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2013","2013",,"M","Missing value; data cannot exist"
"IDN","Indonesia","M","Men","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2014","2014",,"M","Missing value; data cannot exist"
"IDN","Indonesia","M","Men","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2015","2015",0.828,,
"IDN","Indonesia","M","Men","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2016","2016",,"x; z","Data included in another category; Not applicable"
"GBR","United Kingdom","F","Women","Y_LT30","Less than 30","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2010","2010",,"M","Missing value; data cannot exist"
"GBR","United Kingdom","F","Women","Y_LT30","Less than 30","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2011","2011",4.753,,
"GBR","United Kingdom","F","Women","Y_LT30","Less than 30","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2012","2012",4.924,,
"GBR","United Kingdom","F","Women","Y_LT30","Less than 30","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2013","2013",6.168,,
"GBR","United Kingdom","F","Women","Y_LT30","Less than 30","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2014","2014",3.24,,
"GBR","United Kingdom","F","Women","Y_LT30","Less than 30","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2015","2015",4.86,,
"GBR","United Kingdom","F","Women","Y_LT30","Less than 30","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2016","2016",5.667,,
"CRI","Costa Rica","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2013","2013",,"M","Missing value; data cannot exist"
"CRI","Costa Rica","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2014","2014",,"M","Missing value; data cannot exist"
"CRI","Costa Rica","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2015","2015",,"M","Missing value; data cannot exist"
"CRI","Costa Rica","F","Women","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_F_RATE_AGE","First-time graduation rate","2016","2016",,"M","Missing value; data cannot exist"
"USA","United States","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_F_RATE_AGE","First-time graduation rate","2010","2010",,"x","Data included in another category"
"USA","United States","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_F_RATE_AGE","First-time graduation rate","2011","2011",,"x","Data included in another category"
"USA","United States","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_F_RATE_AGE","First-time graduation rate","2012","2012",,"x","Data included in another category"
"USA","United States","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_F_RATE_AGE","First-time graduation rate","2013","2013",,"x","Data included in another category"
"USA","United States","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_F_RATE_AGE","First-time graduation rate","2014","2014",,"x","Data included in another category"
"USA","United States","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_F_RATE_AGE","First-time graduation rate","2015","2015",,"x","Data included in another category"
"USA","United States","M","Men","Y_LT30","Less than 30","W0-W1","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_F_RATE_AGE","First-time graduation rate","2016","2016",,"x","Data included in another category"
"LVA","Latvia","M","Men","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2010","2010",,"M","Missing value; data cannot exist"
"LVA","Latvia","M","Men","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2011","2011",,"M","Missing value; data cannot exist"
"LVA","Latvia","M","Men","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2012","2012",,"M","Missing value; data cannot exist"
"LVA","Latvia","M","Men","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2013","2013",,"M","Missing value; data cannot exist"
"LVA","Latvia","M","Men","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2014","2014",8.165,,
"LVA","Latvia","M","Men","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2015","2015",7.395,,
"LVA","Latvia","M","Men","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2016","2016",7.168,,
"JPN","Japan","F","Women","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2010","2010",,"M","Missing value; data cannot exist"
"JPN","Japan","F","Women","Y_LT35","Less than 35","W0-W1","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_F_RATE_AGE","First-time graduation rate","2011","2011",,"M","Missing value; data cannot exist"
