"COUNTRY","Country","AGE","Age","INTENSITY","Intensity","SEX","Gender","ISC11_LEVEL_CAT","Education level and programe orientation ","INDICATOR","Indicator name","YEAR","Year","Value","Flag Codes","Flags"
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",17.512,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",18.287,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",10.612,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",11.488,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",13.5,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",14.585,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2014","2014",16.018,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",16.305,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",18.265,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",0,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",0,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",0,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",0,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2014","2014",0,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",0,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",0,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",0,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",0,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",0,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2014","2014",0,,
"AUT","Austria","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",0,,
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",,"M","Missing value; data cannot exist"
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",,"M","Missing value; data cannot exist"
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",,"M","Missing value; data cannot exist"
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",17.293,,
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2014","2014",,"M","Missing value; data cannot exist"
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",,"M","Missing value; data cannot exist"
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",,"M","Missing value; data cannot exist"
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",,"M","Missing value; data cannot exist"
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",,"M","Missing value; data cannot exist"
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",,"M","Missing value; data cannot exist"
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",17.153,,
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2014","2014",,"M","Missing value; data cannot exist"
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",,"M","Missing value; data cannot exist"
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",,"M","Missing value; data cannot exist"
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",0,,
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",0,,
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",0,,
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",0,,
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2014","2014",0,,
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",0,,
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",0,,
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",0,,
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",0,,
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",0,,
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2014","2014",0,,
"BEL","Belgium","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",0,,
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",,"M","Missing value; data cannot exist"
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",,"M","Missing value; data cannot exist"
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",,"M","Missing value; data cannot exist"
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",,"M","Missing value; data cannot exist"
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2014","2014",,"M","Missing value; data cannot exist"
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",,"M","Missing value; data cannot exist"
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",,"M","Missing value; data cannot exist"
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",,"M","Missing value; data cannot exist"
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",,"M","Missing value; data cannot exist"
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",,"M","Missing value; data cannot exist"
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",,"M","Missing value; data cannot exist"
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2014","2014",,"M","Missing value; data cannot exist"
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",,"M","Missing value; data cannot exist"
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",,"M","Missing value; data cannot exist"
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",,"M","Missing value; data cannot exist"
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",,"M","Missing value; data cannot exist"
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",0,,
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",0,,
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2014","2014",0,,
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",0,,
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",,"M","Missing value; data cannot exist"
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",,"M","Missing value; data cannot exist"
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",0,,
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",0,,
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2014","2014",0,,
"CAN","Canada","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",0,,
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",6.486,,
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2014","2014",4.062,,
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",4.686,,
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",5.395,,
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",6.151,,
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2014","2014",3.89,,
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",4.292,,
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",4.927,,
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",,"M","Missing value; data cannot exist"
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",58.057,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",59.606,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",60.518,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",60.687,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2014","2014",60.616,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",58.372,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","F","Women","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",57.122,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",58.28,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",59.894,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",60.906,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",60.761,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2014","2014",60.501,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",58.611,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","M","Men","L0","Early childhood education  (ISCED2011 level 0)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",57.264,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",0,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",0,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",0,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",0,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2014","2014",0,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","F","Women","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",0,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2010","2010",0,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2011","2011",0,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2012","2012",0,,
"DNK","Denmark","Y0T2","0-2 years","T","Full- and part-time","M","Men","L1","Primary education (ISCED2011 level 1)","ENRL_RATE_AGE","Enrolment rate by age","2013","2013",0,,
