"REG","Region","LOCATION","Country","INC","Income group","VAR","Variables","TIME","Time","Value","Flag Codes","Flags"
"ECA","Europe and Central Asia","MKD","Former Yugoslav Republic of Macedonia","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.12,,
"EAP","East Asia and the Pacific","MYS","Malaysia","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.43,,
"LAC","Latin America and the Caribbean","PER","Peru","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.14,,
"ECA","Europe and Central Asia","ROU","Romania","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.21,,
"SSA","Sub-Saharan Africa","ZAF","South Africa","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.2,,
"EAP","East Asia and the Pacific","THA","Thailand","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.27,,
"MENA","Middle East and North Africa","TUN","Tunisia","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.25,,
"LAC","Latin America and the Caribbean","VEN","Venezuela","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.15,,
"ECA","Europe and Central Asia","SRB","Serbia","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.19,,
"ALL","All regions","AUS","Australia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.04,,
"ALL","All regions","CAN","Canada","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.05,,
"ALL","All regions","FIN","Finland","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.06,,
"ALL","All regions","FRA","France","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.07,,
"ALL","All regions","DEU","Germany","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.16,,
"ALL","All regions","HUN","Hungary","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.19,,
"ALL","All regions","ITA","Italy","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.08,,
"ALL","All regions","JPN","Japan","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.16,,
"ALL","All regions","KOR","Korea","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.26,,
"ALL","All regions","MEX","Mexico","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.21,,
"ALL","All regions","NLD","Netherlands","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.05,,
"ALL","All regions","NZL","New Zealand","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.05,,
"ALL","All regions","NOR","Norway","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.04,,
"ALL","All regions","POL","Poland","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.12,,
"ALL","All regions","ESP","Spain","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.12,,
"ALL","All regions","SWE","Sweden","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.03,,
"ALL","All regions","CHE","Switzerland","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.09,,
"ALL","All regions","TUR","Turkey","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.32,,
"ALL","All regions","GBR","United Kingdom","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.07,,
"ALL","All regions","USA","United States","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.07,,
"ALL","All regions","ALB","Albania","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.15,,
"ALL","All regions","DZA","Algeria","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.37,,
"ALL","All regions","ARG","Argentina","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.14,,
"ALL","All regions","ARM","Armenia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.25,,
"ALL","All regions","AZE","Azerbaijan","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.31,,
"ALL","All regions","BGD","Bangladesh","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.62,,
"ALL","All regions","BLR","Belarus","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.21,,
"ALL","All regions","BIH","Bosnia and Herzegovina","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.17,,
"ALL","All regions","BRA","Brazil","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.12,,
"ALL","All regions","BGR","Bulgaria","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.11,,
"ALL","All regions","BFA","Burkina Faso","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.33,,
"ALL","All regions","CHL","Chile","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.2,,
"ALL","All regions","CHN","China (People's Republic of)","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.22,,
"ALL","All regions","COL","Colombia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.11,,
"ALL","All regions","CYP","Cyprus","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.14,,
"ALL","All regions","ECU","Ecuador","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.23,,
"ALL","All regions","EGY","Egypt","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.36,,
"ALL","All regions","EST","Estonia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.16,,
"ALL","All regions","ETH","Ethiopia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.08,,
"ALL","All regions","GEO","Georgia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.23,,
"ALL","All regions","GHA","Ghana","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.3,,
"ALL","All regions","GTM","Guatemala","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.19,,
"ALL","All regions","HKG","Hong Kong, China","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.22,,
"ALL","All regions","IND","India","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.39,,
"ALL","All regions","IDN","Indonesia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.19,,
"ALL","All regions","IRN","Iran","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.55,,
"ALL","All regions","IRQ","Iraq","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.31,,
"ALL","All regions","JOR","Jordan","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.29,,
"ALL","All regions","KAZ","Kazakhstan","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.22,,
"ALL","All regions","KWT","Kuwait","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.36,,
"ALL","All regions","KGZ","Kyrgyzstan","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.41,,
"ALL","All regions","LBN","Lebanon","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.31,,
"ALL","All regions","LBY","Libya","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.32,,
"ALL","All regions","MKD","Former Yugoslav Republic of Macedonia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.12,,
"ALL","All regions","MYS","Malaysia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.43,,
"ALL","All regions","MLI","Mali","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.47,,
"ALL","All regions","MDA","Moldova","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.17,,
"ALL","All regions","MAR","Morocco","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.2,,
"ALL","All regions","NGA","Nigeria","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.46,,
"ALL","All regions","PSE","Palestinian Authority or West Bank and Gaza Strip","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.27,,
"ALL","All regions","PAK","Pakistan","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.51,,
"ALL","All regions","PER","Peru","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.14,,
"ALL","All regions","PHL","Philippines","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.39,,
"ALL","All regions","QAT","Qatar","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.28,,
"ALL","All regions","ROU","Romania","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.21,,
"ALL","All regions","RUS","Russia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.23,,
"ALL","All regions","RWA","Rwanda","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.36,,
"ALL","All regions","SAU","Saudi Arabia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.6,,
"ALL","All regions","SGP","Singapore","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.26,,
"ALL","All regions","SVN","Slovenia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.08,,
"ALL","All regions","ZAF","South Africa","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.2,,
"ALL","All regions","TZA","Tanzania","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.15,,
"ALL","All regions","THA","Thailand","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.27,,
"ALL","All regions","TTO","Trinidad and Tobago","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.06,,
"ALL","All regions","TUN","Tunisia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.25,,
"ALL","All regions","UGA","Uganda","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.23,,
"ALL","All regions","UKR","Ukraine","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.18,,
"ALL","All regions","URY","Uruguay","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.09,,
"ALL","All regions","UZB","Uzbekistan","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.49,,
"ALL","All regions","VEN","Venezuela","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.15,,
"ALL","All regions","VNM","Viet Nam","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.2,,
"ALL","All regions","YEM","Yemen","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.45,,
"ALL","All regions","ZMB","Zambia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.24,,
"ALL","All regions","ZWE","Zimbabwe","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.16,,
"ALL","All regions","SRB","Serbia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.19,,
"ALL","All regions","CYP","Cyprus","HIN","High income: nonOECD","SB_3","Son preference in education","2014","2014",0.14,,
"ALL","All regions","HKG","Hong Kong, China","HIN","High income: nonOECD","SB_3","Son preference in education","2014","2014",0.22,,
"ALL","All regions","KWT","Kuwait","HIN","High income: nonOECD","SB_3","Son preference in education","2014","2014",0.36,,
"ALL","All regions","QAT","Qatar","HIN","High income: nonOECD","SB_3","Son preference in education","2014","2014",0.28,,
"ALL","All regions","RUS","Russia","HIN","High income: nonOECD","SB_3","Son preference in education","2014","2014",0.23,,
"ALL","All regions","SAU","Saudi Arabia","HIN","High income: nonOECD","SB_3","Son preference in education","2014","2014",0.6,,
"ALL","All regions","SGP","Singapore","HIN","High income: nonOECD","SB_3","Son preference in education","2014","2014",0.26,,
"ALL","All regions","TTO","Trinidad and Tobago","HIN","High income: nonOECD","SB_3","Son preference in education","2014","2014",0.06,,
"ALL","All regions","URY","Uruguay","HIN","High income: nonOECD","SB_3","Son preference in education","2014","2014",0.09,,
"ALL","All regions","AUS","Australia","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.04,,
"ALL","All regions","CAN","Canada","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.05,,
"ALL","All regions","FIN","Finland","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.06,,
"ALL","All regions","FRA","France","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.07,,
"ALL","All regions","DEU","Germany","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.16,,
"ALL","All regions","ITA","Italy","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.08,,
"ALL","All regions","JPN","Japan","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.16,,
"ALL","All regions","KOR","Korea","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.26,,
"ALL","All regions","NLD","Netherlands","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.05,,
"ALL","All regions","NZL","New Zealand","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.05,,
"ALL","All regions","NOR","Norway","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.04,,
"ALL","All regions","POL","Poland","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.12,,
"ALL","All regions","ESP","Spain","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.12,,
"ALL","All regions","SWE","Sweden","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.03,,
"ALL","All regions","CHE","Switzerland","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.09,,
"ALL","All regions","GBR","United Kingdom","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.07,,
"ALL","All regions","USA","United States","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.07,,
"ALL","All regions","CHL","Chile","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.2,,
"ALL","All regions","EST","Estonia","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.16,,
"ALL","All regions","SVN","Slovenia","HIO","High income: OECD","SB_3","Son preference in education","2014","2014",0.08,,
"ALL","All regions","BGD","Bangladesh","LIN","Low income","SB_3","Son preference in education","2014","2014",0.62,,
"ALL","All regions","BFA","Burkina Faso","LIN","Low income","SB_3","Son preference in education","2014","2014",0.33,,
"ALL","All regions","ETH","Ethiopia","LIN","Low income","SB_3","Son preference in education","2014","2014",0.08,,
"ALL","All regions","MLI","Mali","LIN","Low income","SB_3","Son preference in education","2014","2014",0.47,,
"ALL","All regions","RWA","Rwanda","LIN","Low income","SB_3","Son preference in education","2014","2014",0.36,,
"ALL","All regions","TZA","Tanzania","LIN","Low income","SB_3","Son preference in education","2014","2014",0.15,,
"ALL","All regions","UGA","Uganda","LIN","Low income","SB_3","Son preference in education","2014","2014",0.23,,
"ALL","All regions","ZWE","Zimbabwe","LIN","Low income","SB_3","Son preference in education","2014","2014",0.16,,
"ALL","All regions","ARM","Armenia","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.25,,
"ALL","All regions","EGY","Egypt","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.36,,
"ALL","All regions","GEO","Georgia","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.23,,
"ALL","All regions","GHA","Ghana","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.3,,
"ALL","All regions","GTM","Guatemala","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.19,,
"ALL","All regions","IND","India","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.39,,
"ALL","All regions","IDN","Indonesia","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.19,,
"ALL","All regions","KGZ","Kyrgyzstan","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.41,,
"ALL","All regions","MDA","Moldova","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.17,,
"ALL","All regions","MAR","Morocco","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.2,,
"ALL","All regions","NGA","Nigeria","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.46,,
"ALL","All regions","PSE","Palestinian Authority or West Bank and Gaza Strip","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.27,,
"ALL","All regions","PAK","Pakistan","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.51,,
"ALL","All regions","PHL","Philippines","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.39,,
"ALL","All regions","UKR","Ukraine","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.18,,
"ALL","All regions","UZB","Uzbekistan","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.49,,
"ALL","All regions","VNM","Viet Nam","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.2,,
"ALL","All regions","YEM","Yemen","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.45,,
"ALL","All regions","ZMB","Zambia","LMI","Lower middle income ","SB_3","Son preference in education","2014","2014",0.24,,
"ALL","All regions","HUN","Hungary","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.19,,
"ALL","All regions","MEX","Mexico","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.21,,
"ALL","All regions","TUR","Turkey","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.32,,
"ALL","All regions","ALB","Albania","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.15,,
"ALL","All regions","DZA","Algeria","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.37,,
"ALL","All regions","ARG","Argentina","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.14,,
"ALL","All regions","AZE","Azerbaijan","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.31,,
"ALL","All regions","BLR","Belarus","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.21,,
"ALL","All regions","BIH","Bosnia and Herzegovina","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.17,,
"ALL","All regions","BRA","Brazil","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.12,,
"ALL","All regions","BGR","Bulgaria","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.11,,
"ALL","All regions","CHN","China (People's Republic of)","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.22,,
"ALL","All regions","COL","Colombia","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.11,,
"ALL","All regions","ECU","Ecuador","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.23,,
"ALL","All regions","IRN","Iran","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.55,,
"ALL","All regions","IRQ","Iraq","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.31,,
"ALL","All regions","JOR","Jordan","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.29,,
"ALL","All regions","KAZ","Kazakhstan","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.22,,
"ALL","All regions","LBN","Lebanon","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.31,,
"ALL","All regions","LBY","Libya","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.32,,
"ALL","All regions","MKD","Former Yugoslav Republic of Macedonia","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.12,,
"ALL","All regions","MYS","Malaysia","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.43,,
"ALL","All regions","PER","Peru","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.14,,
"ALL","All regions","ROU","Romania","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.21,,
